Angle,Frequency_GHz,S11_TE_Re,S11_TE_Im,S11_TM_Re,S11_TM_Im,S21_TE_Re,S21_TE_Im,S21_TM_Re,S21_TM_Im
0.0,0.0,1.8524744517510436e-07,-2.1583869373559727e-06,2.008083833031284e-07,-2.11769162475327e-06,0.9999996411778976,-7.181885923268159e-07,0.999999674936472,-6.416110289895033e-07
0.0,0.02,-5.095394108666296e-07,-0.0008073240932952279,-4.974210787998863e-07,-0.0008074375966982741,0.9999990284290317,-0.0008229468424038826,0.9999990553749619,-0.0008230335550597457
0.0,0.04,-2.51079181341905e-06,-0.0016125009290494333,-2.5025666305482254e-06,-0.0016127682949261092,0.999997089448241,-0.0016451854829510955,0.9999971092443952,-0.0016454349230238293
0.0,0.06,-5.8186484458253175e-06,-0.0024176960015865616,-5.8147228683933595e-06,-0.002418116633180852,0.9999938241627927,-0.0024674407959042553,0.9999938364718685,-0.002467852374883437
0.0,0.08,-1.043326439791003e-05,-0.0032229155392852634,-1.0434053829869656e-05,-0.00322348961109955,0.9999892324444065,-0.0032897198014300625,0.9999892369291785,-0.0032902928078123546
0.0,0.1,-1.6354879338903148e-05,-0.004028167029406308,-1.636085191590606e-05,-0.00402889333055401,0.9999833141121268,-0.004112028820908273,0.9999833104341725,-0.004112762891430902
0.0,0.12,-2.3583794188305402e-05,-0.004833456677602062,-2.3595253735529394e-05,-0.004834335392180161,0.9999760689288303,-0.004934374768234999,0.9999760567497321,-0.00493526936427853
0.0,0.14,-3.2120302828608866e-05,-0.0056387910809179665,-3.213779091681719e-05,-0.00563982202241183,0.9999674966024028,-0.0057567643816472235,0.9999674755834279,-0.005757818963766137
0.0,0.16,-4.1964726331899316e-05,-0.006444177462700832,-4.198862719546742e-05,-0.006445360075589718,0.9999575967876105,-0.006579204398035359,0.9999575665895929,-0.006580418425955695
0.0,0.18,-5.311764695003255e-05,-0.007249622503485738,-5.3148307624483375e-05,-0.00725095706848401,0.9999463690835688,-0.007401701552699478,0.9999463293676221,-0.007403074310788996
0.0,0.2,-6.557942595740481e-05,-0.008055133782279303,-6.561738787002578e-05,-0.008056618446299148,0.9999338130333962,-0.008224262579110958,0.9999337634594802,-0.00822579369996697
0.0,0.22,-7.935065518030219e-05,-0.008860716387195518,-7.93962363125144e-05,-0.008862351525669823,0.9999199281288218,-0.009046894208717127,0.9999198683558744,-0.00904858314956398
0.0,0.24,-9.443208489116734e-05,-0.009666378073467291,-9.448564653369155e-05,-0.009668164062726595,0.9999047138021271,-0.009869603170643549,0.9999046434915175,-0.009871449387895753
0.0,0.26,-0.00011082401682520108,-0.010472125349098901,-0.00011088618977675819,-0.01047406135760928,0.9998881694334905,-0.010692396366054504,0.9998880882439753,-0.010694399140736714
0.0,0.28,-0.00012852754188085507,-0.011277965182298294,-0.00012859857307979543,-0.01128005140368414,0.9998702943502521,-0.011515280169789779,0.9998702019385646,-0.011517439305667688
0.0,0.3,-0.00014754328587831872,-0.012083905762855358,-0.00014762374341304664,-0.012086140996695555,0.9998510878175979,-0.01233826182629221,0.9998509838438873,-0.012340576602732049
0.0,0.32,-0.0001678719639413547,-0.01288995118271278,-0.0001679622038672937,-0.012892335437317751,0.9998305490533369,-0.013161347704205227,0.9998304331771538,-0.013163817574264816
0.0,0.34,-0.00018951447907387885,-0.01369610976094438,-0.00018961481550133265,-0.01369864304646801,0.9998086772177236,-0.013984544692295599,0.9998085490928371,-0.013987169282649314
0.0,0.36,-0.00021247183861879785,-0.014502387163745672,-0.00021258279687465844,-0.014505069488120645,0.9997854714135856,-0.014807859501077141,0.9997853306957465,-0.014810638437577565
0.0,0.38,-0.00023674496389700133,-0.015308792070137174,-0.0002368670423149184,-0.015311621679392982,0.9997609306861924,-0.015631299011631905,0.9997607770351333,-0.01563423157027905
0.0,0.4,-0.0002623351015431104,-0.016115330444069927,-0.0002624685388434732,-0.016118307166294078,0.9997350540438159,-0.016454869752102454,0.9997348871060044,-0.016457955556907097
