Unique_ID,Topology_Name,Angle_deg,f_TE_GHz,L_TE_nH,C_TE_fF,R_TE_ohm,f_TM_GHz,L_TM_nH,C_TM_fF,R_TM_ohm
ID1040_12_R5.0_W0.01_Ang0,ID1040_12_R5.0_W0.01.csv,0,17.225,10.6041,8.05,10.021,17.2612,10.5813,8.0345,10.0421
ID1040_12_R5.0_W0.01_Ang20,ID1040_12_R5.0_W0.01.csv,20,17.2009,11.258,7.6,10.533,17.1779,10.9239,7.8581,10.1457
ID1040_12_R5.0_W0.01_Ang40,ID1040_12_R5.0_W0.01.csv,40,17.1543,13.0788,6.58,12.045,16.9823,11.9151,7.3714,10.629
ID1040_12_R5.0_W0.01_Ang60,ID1040_12_R5.0_W0.01.csv,60,17.1256,15.4692,5.58,13.923,16.7169,13.2701,6.8306,10.9908
ID1040_12_R5.0_W0.01_Ang80,ID1040_12_R5.0_W0.01.csv,80,17.1063,17.3123,5.0,15.43,16.5877,14.2419,6.464,11.5038
ID1041_12_R5.0_W0.0367_Ang0,ID1041_12_R5.0_W0.0367.csv,0,18.1076,9.039,8.55,5.633,18.1114,9.0373,8.5447,5.6814
ID1041_12_R5.0_W0.0367_Ang20,ID1041_12_R5.0_W0.0367.csv,20,18.0985,9.4216,8.21,5.865,18.088,9.1175,8.4915,5.6879
ID1041_12_R5.0_W0.0367_Ang40,ID1041_12_R5.0_W0.0367.csv,40,18.0229,11.2537,6.93,6.947,17.7525,10.2742,7.8231,6.037
ID1041_12_R5.0_W0.0367_Ang60,ID1041_12_R5.0_W0.0367.csv,60,17.9694,13.3662,5.87,7.951,17.4764,11.5702,7.168,6.3561
ID1041_12_R5.0_W0.0367_Ang80,ID1041_12_R5.0_W0.0367.csv,80,17.927,15.055,5.24,8.679,17.279,12.6193,6.723,6.5321
ID1042_12_R5.0_W0.0633_Ang0,ID1042_12_R5.0_W0.0633.csv,0,18.8269,7.8098,9.15,4.193,18.8269,7.8038,9.1575,4.1551
ID1042_12_R5.0_W0.0633_Ang20,ID1042_12_R5.0_W0.0633.csv,20,18.765,8.41,8.55,4.413,18.7056,8.1483,8.8845,4.2296
ID1042_12_R5.0_W0.0633_Ang40,ID1042_12_R5.0_W0.0633.csv,40,18.6214,10.2191,7.15,5.132,18.2846,9.3792,8.078,4.4799
ID1042_12_R5.0_W0.0633_Ang60,ID1042_12_R5.0_W0.0633.csv,60,18.5737,12.2836,5.98,5.955,17.9116,10.7978,7.3121,4.6153
ID1042_12_R5.0_W0.0633_Ang80,ID1042_12_R5.0_W0.0633.csv,80,18.5439,13.8721,5.31,6.361,17.6428,12.0068,6.7776,4.8817
ID1043_12_R5.0_W0.09_Ang0,ID1043_12_R5.0_W0.09.csv,0,19.3785,7.0099,9.62,3.489,19.4148,6.9807,9.6266,3.4943
ID1043_12_R5.0_W0.09_Ang20,ID1043_12_R5.0_W0.09.csv,20,19.2752,7.6912,8.86,3.572,19.2142,7.4371,9.2255,3.5134
ID1043_12_R5.0_W0.09_Ang40,ID1043_12_R5.0_W0.09.csv,40,19.1625,9.298,7.42,4.169,18.781,8.5725,8.3771,3.6576
ID1043_12_R5.0_W0.09_Ang60,ID1043_12_R5.0_W0.09.csv,60,19.0656,11.2679,6.18,5.016,18.3046,10.3184,7.3267,3.9331
ID1043_12_R5.0_W0.09_Ang80,ID1043_12_R5.0_W0.09.csv,80,19.0247,12.8488,5.45,5.574,17.9873,11.3713,6.8849,4.0785
ID1044_12_R5.0_W0.1167_Ang0,ID1044_12_R5.0_W0.1167.csv,0,19.7883,6.4761,9.99,2.949,19.8484,6.4489,9.9703,3.0249
ID1044_12_R5.0_W0.1167_Ang20,ID1044_12_R5.0_W0.1167.csv,20,19.7238,7.0379,9.25,3.162,19.6473,6.8118,9.6331,3.1059
ID1044_12_R5.0_W0.1167_Ang40,ID1044_12_R5.0_W0.1167.csv,40,19.5569,8.6892,7.62,3.554,19.1473,8.0665,8.5653,3.1749
ID1044_12_R5.0_W0.1167_Ang60,ID1044_12_R5.0_W0.1167.csv,60,19.471,10.599,6.3,4.339,18.5797,9.953,7.3724,3.5292
ID1044_12_R5.0_W0.1167_Ang80,ID1044_12_R5.0_W0.1167.csv,80,19.4285,12.1503,5.52,4.791,18.2045,11.0439,6.9209,3.5732
ID1050_12_R6.0_W0.01_Ang0,ID1050_12_R6.0_W0.01.csv,0,14.5437,11.9956,9.98,11.039,14.5885,11.9776,9.9369,11.0305
ID1050_12_R6.0_W0.01_Ang20,ID1050_12_R6.0_W0.01.csv,20,14.449,12.8168,9.47,11.527,14.5665,12.3517,9.6651,11.1873
ID1050_12_R6.0_W0.01_Ang40,ID1050_12_R6.0_W0.01.csv,40,14.4541,14.8333,8.17,13.14,14.3706,13.5685,9.0398,11.6614
ID1050_12_R6.0_W0.01_Ang60,ID1050_12_R6.0_W0.01.csv,60,14.4393,17.4908,6.95,16.324,14.1523,15.3125,8.2592,12.3977
ID1050_12_R6.0_W0.01_Ang80,ID1050_12_R6.0_W0.01.csv,80,14.3089,21.2783,5.81,16.7,13.7464,17.9311,7.4757,12.5009
ID1051_12_R6.0_W0.0422_Ang0,ID1051_12_R6.0_W0.0422.csv,0,15.1714,10.8201,10.17,5.579,15.1904,10.7909,10.1728,5.5255
ID1051_12_R6.0_W0.0422_Ang20,ID1051_12_R6.0_W0.0422.csv,20,15.1381,11.5802,9.55,5.883,15.1261,11.2197,9.8675,5.6614
ID1051_12_R6.0_W0.0422_Ang40,ID1051_12_R6.0_W0.0422.csv,40,14.9994,13.4051,8.4,6.758,15.0498,12.2123,9.1576,6.1494
ID1051_12_R6.0_W0.0422_Ang60,ID1051_12_R6.0_W0.0422.csv,60,14.9988,15.9741,7.05,8.557,14.7274,14.1564,8.2496,6.4618
ID1051_12_R6.0_W0.0422_Ang80,ID1051_12_R6.0_W0.0422.csv,80,15.0637,18.8326,5.93,9.094,14.3811,16.2438,7.54,6.5947
ID1052_12_R6.0_W0.0744_Ang0,ID1052_12_R6.0_W0.0744.csv,0,15.7762,9.1959,11.07,4.236,15.9082,9.1134,10.9829,4.2516
ID1052_12_R6.0_W0.0744_Ang20,ID1052_12_R6.0_W0.0744.csv,20,15.7371,9.876,10.36,4.485,15.8208,9.5259,10.6238,4.3493
ID1052_12_R6.0_W0.0744_Ang40,ID1052_12_R6.0_W0.0744.csv,40,15.5943,11.8318,8.8,5.067,15.5481,10.8876,9.624,4.57
ID1052_12_R6.0_W0.0744_Ang60,ID1052_12_R6.0_W0.0744.csv,60,15.5513,14.6069,7.17,6.42,15.091,13.2026,8.4246,4.6977
ID1052_12_R6.0_W0.0744_Ang80,ID1052_12_R6.0_W0.0744.csv,80,15.5978,17.2656,6.03,6.614,14.7216,15.3103,7.6339,4.7438
ID1053_12_R6.0_W0.1067_Ang0,ID1053_12_R6.0_W0.1067.csv,0,16.2594,8.3719,11.44,3.479,16.2811,8.3614,11.4286,3.4412
ID1053_12_R6.0_W0.1067_Ang20,ID1053_12_R6.0_W0.1067.csv,20,16.2175,9.0426,10.65,3.716,16.1576,8.7701,11.0632,3.5364
ID1053_12_R6.0_W0.1067_Ang40,ID1053_12_R6.0_W0.1067.csv,40,16.0913,10.9343,8.95,4.275,15.8562,10.1598,9.9164,3.7777
ID1053_12_R6.0_W0.1067_Ang60,ID1053_12_R6.0_W0.1067.csv,60,16.0584,13.3511,7.36,5.051,15.4112,12.4386,8.5743,3.922
ID1053_12_R6.0_W0.1067_Ang80,ID1053_12_R6.0_W0.1067.csv,80,16.0847,15.1728,6.45,5.665,15.059,14.131,7.9045,4.0566
ID1054_12_R6.0_W0.1389_Ang0,ID1054_12_R6.0_W0.1389.csv,0,16.632,7.7405,11.83,2.923,16.6406,7.7257,11.8404,2.9724
ID1054_12_R6.0_W0.1389_Ang20,ID1054_12_R6.0_W0.1389.csv,20,16.5737,8.4044,10.97,3.112,16.5038,8.1442,11.4189,3.0492
ID1054_12_R6.0_W0.1389_Ang40,ID1054_12_R6.0_W0.1389.csv,40,16.4486,10.2233,9.16,3.636,16.1375,9.5849,10.1479,3.2059
ID1054_12_R6.0_W0.1389_Ang60,ID1054_12_R6.0_W0.1389.csv,60,16.4174,12.5995,7.46,4.572,15.6176,11.9812,8.6679,3.3634
ID1054_12_R6.0_W0.1389_Ang80,ID1054_12_R6.0_W0.1389.csv,80,16.3972,14.36,6.56,3.244,15.2603,13.9346,7.8059,3.4815
ID1055_12_R6.0_W0.1711_Ang0,ID1055_12_R6.0_W0.1711.csv,0,16.9303,7.3451,12.03,2.51,16.8926,7.348,12.0804,2.5086
ID1055_12_R6.0_W0.1711_Ang20,ID1055_12_R6.0_W0.1711.csv,20,16.8887,7.8572,11.3,2.742,16.7897,7.6062,11.8137,2.6455
ID1055_12_R6.0_W0.1711_Ang40,ID1055_12_R6.0_W0.1711.csv,40,16.7636,9.6657,9.33,3.261,16.3454,9.1174,10.3987,2.805
ID1055_12_R6.0_W0.1711_Ang60,ID1055_12_R6.0_W0.1711.csv,60,16.6891,11.993,7.58,4.256,15.7955,11.6759,8.6953,3.0212
ID1055_12_R6.0_W0.1711_Ang80,ID1055_12_R6.0_W0.1711.csv,80,16.6759,13.7432,6.63,4.089,15.3978,13.5765,7.8693,2.9762
ID1056_12_R6.0_W0.2033_Ang0,ID1056_12_R6.0_W0.2033.csv,0,17.1876,6.8824,12.46,2.247,17.2178,6.8785,12.422,2.2601
ID1056_12_R6.0_W0.2033_Ang20,ID1056_12_R6.0_W0.2033.csv,20,17.1117,7.5277,11.49,2.38,17.0629,7.306,11.9085,2.3439
ID1056_12_R6.0_W0.2033_Ang40,ID1056_12_R6.0_W0.2033.csv,40,16.947,9.3121,9.47,2.705,16.5883,8.8975,10.3459,2.4868
ID1056_12_R6.0_W0.2033_Ang60,ID1056_12_R6.0_W0.2033.csv,60,16.8796,11.6153,7.65,3.445,15.9664,11.5922,8.5716,2.6359
ID1056_12_R6.0_W0.2033_Ang80,ID1056_12_R6.0_W0.2033.csv,80,16.8401,13.56,6.59,8.605,15.5648,13.5999,7.6881,2.675
ID1057_12_R6.0_W0.2356_Ang0,ID1057_12_R6.0_W0.2356.csv,0,17.4795,6.4863,12.78,2.018,17.4993,6.4669,12.7909,2.0275
ID1057_12_R6.0_W0.2356_Ang20,ID1057_12_R6.0_W0.2356.csv,20,17.4085,6.9762,11.98,2.294,17.3469,6.7666,12.4402,2.156
ID1057_12_R6.0_W0.2356_Ang40,ID1057_12_R6.0_W0.2356.csv,40,17.2494,8.6708,9.82,2.786,16.8404,8.4362,10.5874,2.4864
ID1057_12_R6.0_W0.2356_Ang60,ID1057_12_R6.0_W0.2356.csv,60,17.1619,10.8874,7.9,3.324,16.1292,11.292,8.6227,2.5756
ID1057_12_R6.0_W0.2356_Ang80,ID1057_12_R6.0_W0.2356.csv,80,17.0668,12.6075,6.9,3.964,15.656,13.3357,7.7493,2.5196
