Unique_ID,f0_TE_GHz,C0_TE_fF,L0_TE_nH,R0_TE_ohm,alpha_TE_eff,f0_TM_GHz,C0_TM_fF,L0_TM_nH,R0_TM_ohm,alpha_TM_eff
ID1040_12_R5.0_W0.01.csv,17.225,8.051,10.6041,10.0213,-64.45,17.2612,8.0345,10.5813,10.0421,-11.33
ID1041_12_R5.0_W0.0367.csv,18.1076,8.5467,9.039,5.6328,-48.58,18.1114,8.5447,9.0373,5.6814,-10.14
ID1042_12_R5.0_W0.0633.csv,18.8269,9.1505,7.8098,4.1927,-27.33,18.8269,9.1575,7.8038,4.1551,-7.16
ID1043_12_R5.0_W0.09.csv,19.3785,9.6224,7.0099,3.4895,-22.66,19.4148,9.6266,6.9807,3.4943,-6.0
ID1044_12_R5.0_W0.1167.csv,19.7883,9.9887,6.4761,2.9493,-22.82,19.8484,9.9703,6.4489,3.0249,-5.31
ID1050_12_R6.0_W0.01.csv,14.5437,9.9831,11.9956,11.0392,-51.65,14.5885,9.9369,11.9776,11.0305,-11.98
ID1051_12_R6.0_W0.0422.csv,15.1714,10.1708,10.8201,5.5789,-32.39,15.1904,10.1728,10.7909,5.5255,-11.74
ID1053_12_R6.0_W0.1067.csv,16.2594,11.4448,8.3719,3.479,-29.78,16.2811,11.4286,8.3614,3.4412,-6.46
ID1054_12_R6.0_W0.1389.csv,16.632,11.83,7.7405,2.923,-28.51,16.6406,11.8404,7.7257,2.9724,-5.54
ID1055_12_R6.0_W0.1711.csv,16.9303,12.0314,7.3451,2.5101,-25.77,16.8926,12.0804,7.348,2.5086,-5.22
ID1056_12_R6.0_W0.2033.csv,17.1876,12.4586,6.8824,2.2471,-20.36,17.2178,12.422,6.8785,2.2601,-4.6
ID1057_12_R6.0_W0.2356.csv,17.4795,12.7817,6.4863,2.0183,-20.08,17.4993,12.7909,6.4669,2.0275,-4.23
ID1058_12_R6.0_W0.2678.csv,17.8765,13.1756,6.016,1.9305,-11.79,17.9147,13.1475,6.0032,1.9785,-3.56
ID1059_12_R6.0_W0.3.csv,18.077,13.3837,5.7918,1.6147,-13.61,18.1125,13.3773,5.7719,1.6683,-3.44
ID1060_12_R7.0_W0.01.csv,12.3706,11.5719,14.3039,11.6949,234.79,12.3756,11.5732,14.2907,11.6088,-9.99
ID1062_12_R7.0_W0.0856.csv,13.4746,12.824,10.8788,4.3473,-68.69,13.56,12.6962,10.8505,4.3896,-6.83
ID1064_12_R7.0_W0.1611.csv,14.1678,13.8441,9.1153,2.933,-33.85,14.1969,13.8132,9.0982,2.9106,-5.29
ID1065_12_R7.0_W0.1989.csv,14.4265,14.3494,8.4817,2.4608,-25.28,14.4499,14.3821,8.435,2.4747,-4.94
ID1066_12_R7.0_W0.2367.csv,14.7079,14.7909,7.9167,2.2404,-18.66,14.6913,14.9154,7.8684,2.339,-4.49
ID1067_12_R7.0_W0.2744.csv,14.9953,15.1233,7.4488,2.1281,-15.21,14.9199,15.2654,7.4542,1.9921,-4.2
ID1068_12_R7.0_W0.3122.csv,15.1772,15.6667,7.0191,1.9383,-13.43,15.1575,15.7912,6.9818,1.8515,-3.92
ID1069_12_R7.0_W0.35.csv,15.4018,16.0821,6.6398,1.6965,-12.93,15.4016,16.0898,6.6368,1.6673,-3.52
ID1070_12_R8.0_W0.01.csv,10.8369,13.1195,16.4403,12.3638,-22.06,10.8846,13.0717,16.3562,12.2638,-7.24
ID1071_12_R8.0_W0.0533.csv,11.4531,13.9413,13.8514,5.8698,-349.66,11.5455,13.7912,13.7788,5.9252,-7.84
ID1072_12_R8.0_W0.0967.csv,11.8942,14.5716,12.2874,4.12,-100.27,11.9251,14.5698,12.2253,4.1568,-6.88
ID1073_12_R8.0_W0.14.csv,12.1879,15.1878,11.2275,3.4731,-59.6,12.2319,15.1516,11.1735,3.4854,-6.15
ID1074_12_R8.0_W0.1833.csv,12.4526,15.7295,10.385,2.7718,-50.32,12.5078,15.6579,10.3405,2.8098,-5.41
ID1075_12_R8.0_W0.2267.csv,12.7405,16.2762,9.5876,2.5414,-34.68,12.716,16.3716,9.5687,2.4758,-4.9
ID1076_12_R8.0_W0.27.csv,12.9568,16.7877,8.9878,2.2157,-26.22,12.9063,17.0113,8.9393,2.1551,-4.67
ID1077_12_R8.0_W0.3133.csv,13.1633,17.394,8.4045,2.1335,-24.54,13.1368,17.483,8.3955,2.1275,-4.15
ID1078_12_R8.0_W0.3567.csv,13.3743,17.8582,7.9297,1.8439,-21.29,13.3489,18.0533,7.8739,1.8176,-3.79
ID1079_12_R8.0_W0.4.csv,13.5694,18.3477,7.4979,1.6635,-16.86,13.5447,18.4814,7.4708,1.6053,-3.48
ID1080_12_R9.0_W0.01.csv,9.5649,14.8125,18.6919,13.0992,-61.2,9.6187,14.7323,18.584,13.0979,-13.26
ID1081_12_R9.0_W0.0589.csv,10.1467,15.6541,15.7168,5.8598,-55.99,10.2185,15.5305,15.6199,5.8666,-8.56
ID1082_12_R9.0_W0.1078.csv,10.5307,16.3223,13.9941,4.0779,-32.21,10.5532,16.2523,13.9944,4.094,-8.13
ID1084_12_R9.0_W0.2056.csv,11.0089,17.8681,11.697,2.9414,-31.2,11.0578,17.7453,11.6741,2.9563,-5.63
ID1085_12_R9.0_W0.2544.csv,11.3053,18.3327,10.8106,2.4808,-18.02,11.2492,18.5137,10.812,2.4646,-5.47
ID1086_12_R9.0_W0.3033.csv,11.476,18.9874,10.1296,2.2782,-21.84,11.4309,19.2333,10.0792,2.2015,-4.9
ID1087_12_R9.0_W0.3522.csv,11.6252,19.9267,9.406,2.1142,-20.83,11.631,19.967,9.3775,2.1717,-4.35
ID1088_12_R9.0_W0.4011.csv,11.8218,20.3731,8.8964,1.8531,-20.66,11.7776,20.3898,8.9559,1.7545,-4.23
ID1089_12_R9.0_W0.45.csv,11.9942,20.953,8.4033,1.7227,-18.86,11.9666,21.0552,8.4011,1.6929,-3.78
ID1092_12_R10.0_W0.1189.csv,9.522,18.3388,15.234,4.0258,-20.15,9.5773,18.1621,15.2051,4.0809,-7.84
ID1093_12_R10.0_W0.1733.csv,9.8319,18.8148,13.9271,3.2887,-23.98,9.7997,18.9431,13.9241,3.2845,-6.33
ID1094_12_R10.0_W0.2278.csv,10.0283,19.6707,12.8047,2.9423,-19.32,10.022,19.7527,12.7674,2.9313,-5.87
ID1095_12_R10.0_W0.2822.csv,10.2077,20.362,11.939,2.4668,-20.25,10.2305,20.326,11.9067,2.4878,-4.93
ID1096_12_R10.0_W0.3367.csv,10.4034,20.9903,11.15,2.4471,-19.73,10.4258,20.9768,11.1092,2.5082,-4.11
ID1097_12_R10.0_W0.3911.csv,10.6012,21.5648,10.4517,2.2835,-16.31,10.609,21.6285,10.4055,2.3251,-3.84
ID1098_12_R10.0_W0.4456.csv,10.8331,22.1345,9.7513,2.356,-11.21,10.7436,22.5306,9.7402,2.2023,-3.51
ID1099_12_R10.0_W0.5.csv,10.9509,22.7195,9.2969,1.9585,-11.92,10.9654,22.8459,9.2211,2.0467,-3.23
ID1130_13_R4.0_W0.01.csv,14.599,7.7922,15.2524,22.786,-17.38,14.6154,7.7789,15.2441,22.8157,-15.39
ID1134_13_R4.0_W0.0322.csv,15.9394,7.9119,12.6013,14.0232,329.05,15.9131,7.9287,12.6163,13.9506,-25.49
ID1135_13_R4.0_W0.0378.csv,16.3206,7.9895,11.9029,12.9447,206.06,16.3137,7.9925,11.9083,12.9641,-21.11
ID1136_13_R4.0_W0.0433.csv,16.7588,8.0654,11.1823,12.1153,467.79,16.7327,8.0734,11.206,12.0815,-20.18
ID1137_13_R4.0_W0.0489.csv,18.0513,8.3102,9.3544,12.0279,-7.05,17.987,8.3286,9.4005,12.0207,-5.13
ID1149_13_R5.0_W0.075.csv,14.2746,10.4495,11.8964,10.1836,-472.26,14.2657,10.4172,11.9482,10.1446,-21.29
ID130_2_R4_W0.01.csv,17.9194,17.4295,4.5259,4.6631,56.45,17.9294,17.4154,4.5245,4.6891,10.63
ID131_2_R4_W0.0311.csv,18.1457,20.2271,3.8033,2.7403,49.61,18.1491,20.2263,3.802,2.7389,9.04
ID132_2_R4_W0.0522.csv,18.2053,23.0146,3.3208,2.0543,54.3,18.2088,23.0033,3.3212,2.059,8.29
ID133_2_R4_W0.0733.csv,18.1132,26.2141,2.9452,1.6113,67.88,18.1295,26.1856,2.9431,1.6257,7.54
ID134_2_R4_W0.0944.csv,17.8283,30.3599,2.6249,1.3414,81.06,17.8129,30.3924,2.6267,1.3216,6.74
ID135_2_R4_W0.1156.csv,17.2164,36.7158,2.3276,1.1231,100.02,17.2293,36.6467,2.3285,1.121,6.21
ID140_2_R5_W0.01.csv,14.3654,20.4164,6.0121,5.2447,111.16,14.3574,20.4205,6.0176,5.2303,9.77
ID141_2_R5_W0.0367.csv,14.6173,23.8473,4.9713,2.8137,88.33,14.615,23.8556,4.9711,2.8067,8.9
ID142_2_R5_W0.0633.csv,14.6946,27.6495,4.2426,2.0149,76.35,14.6977,27.6522,4.2404,2.014,7.9
ID143_2_R5_W0.09.csv,14.6154,31.5125,3.763,1.5862,63.95,14.6157,31.5002,3.7643,1.5895,7.43
ID1440_16_R5.0_W0.01.csv,15.341,8.9183,12.0684,12.6344,-32.36,15.307,8.9395,12.0934,12.6459,-16.38
ID1441_16_R5.0_W0.02.csv,15.7086,9.0677,11.3205,9.6322,-65.08,15.7293,9.0613,11.2988,9.5704,-15.06
ID1443_16_R5.0_W0.04.csv,16.4324,9.4285,9.9495,6.854,-65.28,16.4271,9.4368,9.947,6.8639,-11.55
ID1445_16_R5.0_W0.06.csv,17.013,9.7298,8.9945,5.428,-56.68,17.0105,9.7348,8.9925,5.4441,-9.63
ID1446_16_R5.0_W0.07.csv,17.2746,9.8748,8.596,4.9277,-50.61,17.2833,9.8764,8.5859,4.9461,-9.19
ID144_2_R5_W0.1167.csv,14.4241,36.4008,3.3446,1.3329,106.47,14.4267,36.3558,3.3476,1.3298,6.71
ID145_2_R5_W0.1433.csv,13.9526,43.8558,2.9669,1.0931,126.04,13.9476,43.8379,2.9702,1.0908,5.98
ID146_2_R5_W0.17.csv,12.8818,59.2249,2.5774,0.8704,139.04,12.9051,58.9017,2.5822,0.8713,5.32
ID147_2_R5_W0.1967.csv,4.8977,552.3565,1.9117,0.375,33.3,4.8928,553.8915,1.9103,0.3738,3.67
ID150_2_R6_W0.01.csv,12.1459,24.8727,6.9034,5.7475,-27.12,12.05,25.1666,6.9317,5.664,10.01
ID151_2_R6_W0.0422.csv,12.2811,28.5648,5.8794,2.8413,-253.58,12.3197,28.3395,5.889,2.8564,9.1
ID152_2_R6_W0.0744.csv,12.3672,32.1189,5.1563,2.0254,498.21,12.3619,32.0946,5.1646,2.0166,7.49
ID154_2_R6_W0.1389.csv,12.0063,43.6996,4.0211,1.27,166.66,12.0193,43.5087,4.03,1.2744,6.39
ID156_2_R6_W0.2033.csv,10.6991,71.1747,3.109,0.859,-483.26,10.6776,71.6124,3.1025,0.8646,5.31
ID157_2_R6_W0.2356.csv,4.8991,451.2942,2.3386,0.4211,-37.99,4.8949,452.5033,2.3364,0.42,4.86
ID160_2_R7_W0.01.csv,10.3801,28.2126,8.3328,6.0488,-39.22,10.4096,28.0715,8.3274,6.1019,10.81
ID161_2_R7_W0.0478.csv,10.5858,32.3002,6.9982,2.8318,-76.95,10.5976,32.145,7.0163,2.8363,7.46
ID162_2_R7_W0.0856.csv,10.6398,36.656,6.1042,2.0206,-352.72,10.6747,36.5079,6.089,2.0358,7.07
ID163_2_R7_W0.1233.csv,10.5486,42.4245,5.3658,1.5613,48.86,10.5857,41.9831,5.3843,1.5558,5.98
ID164_2_R7_W0.1611.csv,10.3125,50.2599,4.739,1.2496,35.05,10.3524,49.675,4.758,1.2483,4.94
ID165_2_R7_W0.1989.csv,9.8863,61.9115,4.1861,1.0076,-74.63,9.8801,62.1097,4.1779,1.0112,3.89
ID167_2_R7_W0.2744.csv,4.7039,412.7453,2.7736,0.442,-18.61,4.7028,412.8359,2.7742,0.4393,3.08
ID170_2_R8_W0.01.csv,9.0766,31.9004,9.6382,6.2521,-70.32,9.111,31.6003,9.6564,6.3002,10.82
ID171_2_R8_W0.0533.csv,9.3246,35.8881,8.1176,2.8305,-359.24,9.3419,35.8287,8.1011,2.8495,8.74
ID172_2_R8_W0.0967.csv,9.3996,40.7353,7.038,2.0167,133.65,9.3797,40.9022,7.0391,2.0105,7.24
ID173_2_R8_W0.14.csv,9.3579,46.5931,6.2081,1.5884,43.17,9.3329,46.7183,6.2247,1.551,6.45
ID174_2_R8_W0.1833.csv,9.1416,55.0801,5.5031,1.2326,20.03,9.1889,54.5927,5.4951,1.2702,5.77
ID175_2_R8_W0.2267.csv,8.8299,67.0133,4.848,1.0405,21.59,8.8534,66.5312,4.8573,1.0465,4.89
ID176_2_R8_W0.27.csv,8.1199,91.837,4.1833,0.8312,35.9,8.1666,90.4456,4.1993,0.8354,5.2
ID177_2_R8_W0.3133.csv,4.7046,348.9599,3.2796,0.4451,-6.95,4.7365,343.0801,3.291,0.4451,5.98
ID180_2_R9_W0.01.csv,8.076,34.7875,11.1641,6.5403,140.81,8.0672,34.8006,11.1842,6.5361,9.34
ID182_2_R9_W0.1078.csv,8.4323,43.567,8.1769,1.9986,140.59,8.414,43.8243,8.1643,1.9802,8.44
ID183_2_R9_W0.1567.csv,8.4176,48.9286,7.3064,1.5031,-99.41,8.4196,48.9316,7.3024,1.4966,7.63
ID190_2_R10_W0.01.csv,7.2637,34.9827,13.7237,7.0311,188.41,7.2969,34.5483,13.77,7.0314,9.6
ID191_2_R10_W0.0644.csv,7.5377,41.8608,10.6502,2.9165,-435.89,7.5172,42.0782,10.6529,2.9105,8.81
